cs1,cs2,cs3,n_images,agree_all_frac_mean,agree12_frac_mean,agree13_frac_mean,agree23_frac_mean,miou1_imgmean,miou2_imgmean,miou3_imgmean,miouE_imgmean,miou1_dataset,miou2_dataset,miou3_dataset,miouE_dataset,best_single_dataset,ensemble_gain_over_best_single
hsv_conic,ictcp_pq,srgb_linear,10,0.8146428921448662,0.8833828997277997,0.8939211207245401,0.8498279690270133,7.91775324491911,7.286426627201346,7.496828610605661,7.944459689608522,34.595471137060706,32.70964465056424,31.15979519695565,35.57721171338899,34.595471137060706,0.9817405763282849
c02,jzazbz,ycbcr_bt709,10,0.8963824595898467,0.9280247114809924,0.9247020904423741,0.9399997939030333,7.796517775252461,7.943999943381203,7.830464716896323,8.007519894619712,33.77989990197807,35.48254059634142,34.730908314849835,35.55402946317332,35.48254059634142,0.07148886683189914
c02,ictcp_pq,srgb_linear,10,0.8095523731505164,0.8826958123373826,0.8833168196272556,0.8498279690270133,7.796517775252461,7.286426627201346,7.496828610605661,8.01532925089366,33.77989990197807,32.70964465056424,31.15979519695565,35.52896014577412,33.77989990197807,1.7490602437960519
c02,cielab,jzazbz,10,0.9068895889529373,0.9371273093720178,0.9280247114809924,0.947718662042884,7.796517775252461,7.573457329032071,7.943999943381203,7.902292216147425,33.77989990197807,32.833098980563705,35.48254059634142,35.516891674158686,35.48254059634142,0.034351077817262876
jzczhz,oklab,ycbcr_bt709,10,0.8768764334557778,0.8990338981361082,0.8981062955867218,0.9560140624102825,7.6139420129962785,7.828507696346305,7.830464716896323,7.994683274193839,32.057920716895914,35.39255811487449,34.730908314849835,35.51675579911988,35.39255811487449,0.12419768424538802
cielab,hsv_conic,ictcp_pq,10,0.8622159297523992,0.9604017465403342,0.8799639094442494,0.8833828997277997,7.573457329032071,7.91775324491911,7.286426627201346,7.965124447716707,32.833098980563705,34.595471137060706,32.70964465056424,35.51064919485506,34.595471137060706,0.9151780577943569
hsv_conic,ictcp_pq,rgb,10,0.8631882864561611,0.8833828997277997,0.9708135489807216,0.8717592922676731,7.91775324491911,7.286426627201346,7.673425436314167,8.001370296745476,34.595471137060706,32.70964465056424,32.72496099337972,35.496035782666596,34.595471137060706,0.9005646456058898
hsv_conic,jzazbz,oklab,10,0.9285590198357291,0.9490967037589624,0.9508756460092446,0.9571108843144291,7.91775324491911,7.943999943381203,7.828507696346305,7.936849072006163,34.595471137060706,35.48254059634142,35.39255811487449,35.42785266205498,35.48254059634142,-0.054687934286441475
hsv_conic,jzazbz,ycbcr_bt709,10,0.9215038625291024,0.9490967037589624,0.9538996441626763,0.9399997939030333,7.91775324491911,7.943999943381203,7.830464716896323,7.985541716190146,34.595471137060706,35.48254059634142,34.730908314849835,35.41953612353467,35.48254059634142,-0.06300447280675314
ictcp_pq,jzazbz,oklab,10,0.8821323752884762,0.9107417779428364,0.8949742503955356,0.9571108843144291,7.286426627201346,7.943999943381203,7.828507696346305,7.894717431740273,32.70964465056424,35.48254059634142,35.39255811487449,35.41045644334152,35.48254059634142,-0.07208415299989923
hsv_conic,ictcp_pq,ycbcr_bt709,10,0.857243691821356,0.8833828997277997,0.9538996441626763,0.8760256573171065,7.91775324491911,7.286426627201346,7.830464716896323,7.96409657377117,34.595471137060706,32.70964465056424,34.730908314849835,35.38609198912297,34.730908314849835,0.6551836742731325
hsv_conic,jzazbz,rgb,10,0.9302096002475657,0.9490967037589624,0.9708135489807216,0.9400443106296992,7.91775324491911,7.943999943381203,7.673425436314167,7.989362943910871,34.595471137060706,35.48254059634142,32.72496099337972,35.37800100150782,35.48254059634142,-0.10453959483360364
hsv_conic,ictcp_pq,oklab,10,0.8654527333956313,0.8833828997277997,0.9508756460092446,0.8949742503955356,7.91775324491911,7.286426627201346,7.828507696346305,7.901075599715858,34.595471137060706,32.70964465056424,35.39255811487449,35.37007208766577,35.39255811487449,-0.022486027208721282
c02,jzazbz,oklab,10,0.9126773714135586,0.9280247114809924,0.940216882760239,0.9571108843144291,7.796517775252461,7.943999943381203,7.828507696346305,7.907754508583855,33.77989990197807,35.48254059634142,35.39255811487449,35.368629618701284,35.48254059634142,-0.11391097764013836
oklab,xyz,ycbcr_bt709,10,0.8203760808385463,0.8313000965821944,0.9560140624102825,0.8530732601696454,7.828507696346305,6.646894189985868,7.830464716896323,7.888351555707553,35.39255811487449,26.761019442700896,34.730908314849835,35.34227872887619,35.39255811487449,-0.05027938599830151
